XQDdHH_Ga3i8K_rating,z9E0IG_rating_category,ZmyHeo_review_text,_2NsDsF_AwS1CA_reviewer_name,MztJPv_reviewer_details,_2NsDsF_review_date,tl9VpF_thumbs_up,tl9VpF_thumbs_down,model_name
3.0,Does the job,"Heating issue.. right after unboxing when I was copying data from my phone it was heating so much also battery drains very fast when it heats.. but in regular use it don't heat, it's good that it has sd card option and esim option, also charger is 68w so sometimes i use the same charger for my laptop. In this phone you cannot reverse wireless charge another phone or you cannot turn on wife and hotspot at the same time.. in my s20fe i was able to do both",Praveen Verma,"Certified Buyer, Lucknow",3 months ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Slightly disappointed,"This is my review after 4 days of using the motorala edge 60. 1.The battery backup is indeed not very Good, if you are thinking of buying it for heavy usage, this one is Not For you. 2. There is definitely heating issues and it's not mild 3. The stylus has suspension problem, it is stuck Not coming out So Unless motorola is trying or willing to fix these issues in a software update, I advice you not to waste your money on this",Bikash Das,"Certified Buyer, Jorhat District",2 months ago,6,2,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Must buy!,Great Power pack Smartphone at this Price.I have purchased this for my Dad.He wants a new Smartphone. He was earlier using motorola e7 plus..Wanted a Upgrade.It fits him.perfectly with big display and features.Andriod 15 out of the box is a bonus.2years OS update and 3years security Updates.I purchased it for him as the phone security is provided by Thinkshield which is given by Lenovo.Which helps in security regarding cyber fraud and malicious apps.,wasim saikia,"Certified Buyer, Nazira",3 months ago,1,1,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Great product,Loved it,Joydeep Gogoi,"Certified Buyer, Nazira",3 months ago,1,2,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Just okay,Value for money,Flipkart Customer,"Certified Buyer, Sangamner",3 months ago,2,3,motorola-edge-60-pro-pantone-shadow-256-gb
,Not good,"Don't go with this hyped mobile, very slow performance and also stylus pen not working from 2nd day of usage",rajesh kumar,"Certified Buyer, Visakhapatnam",3 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Expected a better product,"No battery pickup,sound not better..",Suman Kumar,"Certified Buyer, Bengaluru",3 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Bad quality,Too much over heating...,boby khan,"Certified Buyer, Kolkata",3 months ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Worth the money,Expectations fulfilled...,Flipkart Customer,"Certified Buyer, Salem District",Today,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Wonderful,Value for money product. Good to buy in this price segment.,Omkar  Shejwal,"Certified Buyer, Navi Mumbai",Today,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Highly recommended,"Camera quality is too gud ,a little bit change need in battery performance , overall good phone",Flipkart Customer,"Certified Buyer, Samastipur District",Today,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,Noice,Prem Kumar J,"Certified Buyer, Bengaluru",1 day ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Very poor,"After 2 months of using its display, it is not resopnding",uday waghmare,"Certified Buyer, Thane District",1 day ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Unsatisfactory,"Don't buy guys, this phone always restarts without your permission.It can't handle simple works forget About gaming",Sudarshan Das,"Certified Buyer, Purba Medinipur District",1 day ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Delightful,Overall good product with Dolby Atmos speaker Improvement needed in battery . Performance is also a little bit slow.Display is good .Only phone which offers esim and wireless charging and stylus in this price range.,Ankul Goutam,"Certified Buyer, Bilaspur",2 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,Moto always the best mobile,keerthi,"Certified Buyer, Hyderabad",2 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Must buy!,Worth of money 💰 good product,Dharecha Bharat,"Certified Buyer, Veraval",3 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,The phone is good but there are lots of bugs in it 😕,Flipkart Customer,"Certified Buyer, Kalyan",3 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,Amazing camera quality with awesome editing experience with the help of Ai,Sahil Shukla,"Certified Buyer, Delhi Division",3 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Bad quality,It is the worst phone I have ever had in my life. Very slow phone.,Flipkart Customer,"Certified Buyer, Nellore",4 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Waste of money!,Don't buy this mobile very bad performance,K.Syed Abdul Kareem,"Certified Buyer, Thoothukkudi District",5 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,Very nice good product,Santosh kumar Lehari,"Certified Buyer, Raipur",8 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,Worth it,Shivam Gupta,"Certified Buyer, Ghaziabad",9 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Very poor,Not at all good,Nikhil  Chauhan,"Certified Buyer, New Delhi",9 days ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,Good product. Value for money.,avinash sen,"Certified Buyer, South Goa District",9 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Good quality product,It's been 3 months I bought this product every thing is ok but battery capacity is low,siva kumar,"Certified Buyer, Chennai",10 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Terrible product,Wireless charger not available in box . Disappointed,Kumanan Gary,"Certified Buyer, Puvalur",1 month ago,2,31,motorola-edge-60-pro-pantone-shadow-256-gb
,Worthless,"Battery getting heat, charging capacity max 1 day, some times screen is getting freeze",Pandurangavittal M,"Certified Buyer, Hyderabad",11 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Just okay,Waste of money,boddu  srikanth,"Certified Buyer, Hyderabad",11 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,Except for the Batter performance all are 👍. I need to charge it twice daily at 5000 MAH in motorola.,Ramnath Saw,"Certified Buyer, Dhanbad",12 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Not too good,SANAL  RAJ S,"Certified Buyer, Nagpur",13 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Brilliant,So thnks,Lal chand Suthar,"Certified Buyer, Bikaner",13 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,Improve the better quality of the battery. Sometimes mobile huang.,sameer patil,"Certified Buyer, Mumbai",13 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,"Excellent display, powerful performance, and innovative stylus make this phone a standout. Impressive camera capabilities and long-lasting battery life. A top-notch device with minor areas for improvement. Rating: 4.5/5",Pavan kalyan,Certified Buyer,14 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Worst experience ever!,"Very bad, defective product keeps rebooting loop and heating up on day 1. Keeping power off while running.",Sakthivel N,"Certified Buyer, Erode",1 month ago,3,1,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,"The Motorola phone is very good, the picture quality is good and it is very light weight but it gets very hot when recording video.",Flipkart Customer,"Certified Buyer, Kakinada",15 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Don't waste your money,Phone has overheating issue on regular internet use Do not purchase this phone,Flipkart Customer,"Certified Buyer, Solapur",15 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Not recommended at all,Just Don't buy this phone. Every app lags.,Aditya Kumar,"Certified Buyer, Rawatbhata",16 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Value for money.. really good.. Mainly the 3.5 mm jach for which the phone is preferred for.,Karthikeyan R,"Certified Buyer, Avadi",16 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific purchase,Best for bjat,Flipkart Customer,"Certified Buyer, Betia",16 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,I believe it's a great phone for someone who is not a big fan of curved display.Performance is decent although not good for gen z gamers.Overall it's a decent deal for someone looking for a professional compact phone. Battery could have been better although,Adil Khan,"Certified Buyer, New Delhi",17 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,Camera Quality is very good 👍,Uma Jadhav,"Certified Buyer, Pimpri Chinchwad",17 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,One of the best phones i hv ever used . Very premiumish looking Loved the colour and feel . Although felt a tad bit on the heavier side.,Kabin Khadar,"Certified Buyer, Alathur",18 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,Super product,Manojkumar Chinta,"Certified Buyer, Hyderabad",18 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,Good product with less price In my opinion this is the best product,Shrikant Mateti,"Certified Buyer, Solapur",18 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Horrible,This device is useless because the device is hang agai and again,Govind Bhardwaj,"Certified Buyer, Madhupur",18 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Perfect product!,The phone is just brilliant.The camera quality of Lytia is superb.The screen runs like a bullet.The stylus is also good,Komal Sharma,"Certified Buyer, Ghaziabad",18 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,"3 months review. Looks amazing. Low light camera performance is weak, in Normal lightening it's very good. Display is wonderful. Excellent thermals. Stylus use will be subjective from person to person.",Flipkart Customer,"Certified Buyer, Aizawl",18 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Terrible product,"Glitch in removal of stylus, stylus not working properly",Pankaj Mishra,"Certified Buyer, Bhiwadi",19 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Must buy!,"Excellent phone at its price, it would have been better if they had given the case in the box. Stylus features are good, camera is good, features of moto gestures are greatly working, display is excellent and sound quality is okayish",Subham Swain,"Certified Buyer, Allahabad",19 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,Amazing,Tejas Shende,"Certified Buyer, Parola",19 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Worthless,Display broken after one fall,CHAMPAK BARMAN,"Certified Buyer, Navi Mumbai",1 month ago,7,3,motorola-edge-60-pro-pantone-shadow-256-gb
,Absolute rubbish!,The product is delivered is defective. Pesting of back Cover near camera cover is peeled up.Whether this can be replaced. Tried to connect customer care. Bad response. Back cover itself is not pasted well. How this phone can be military grade or IP67.,sham suryawanshi,"Certified Buyer, Satara",19 days ago,2,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,Nice one good colour,Flipkart Customer,"Certified Buyer, Chennai",20 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Highly recommended,Veri usefull stylus 👌 good fone,Sumit  Chauhan,"Certified Buyer, Bawal",20 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Not good,Mobile hang + camera hang problems,Ruchi Patiyal,"Certified Buyer, Hamirpur District",24 days ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,Good 👍😊,Sushobhan  Samantaray,"Certified Buyer, Ranapurgada",21 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Mind-blowing purchase,Good,khan Mazharuddin,"Certified Buyer, Vasai Virar",21 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Does the job,Battery draining too fast its not long last even standby also.. stylus will be boaring no use..my suggestion looking good but battery very bad and after a few month stylus got stuks inside..so getting boring to use,Samith  Rai,"Certified Buyer, Udupi District",22 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Average phone..stylus is the only outstanding feature..but it's only for kids wonder..camera is not upto expectation. Battery backup up is good..overall an average phone..but will find a better phone within this price range,Anumod CV,"Certified Buyer, Malappuram",23 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Classy product,I like it,Vipin Singh,"Certified Buyer, Ghaziabad",23 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Must buy!,Go for it. Bes,Anu Raj,"Certified Buyer, Attingal",23 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Terrible product,Worst performance dont buy of your looking for normal performance u can you and also esim perpus,Prabhakar Gadde,"Certified Buyer, Hyderabad",23 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Highly recommended,Very good 👍,Ajit  Kumar,"Certified Buyer, Sangrur",24 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Unsatisfactory,Sound too low.. cant hear on-call sounds even loudspeaker also same problem,Ashif Pradhan,"Certified Buyer, Gangtok",1 month ago,0,1,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Excellent phone with good camera and ip rating. Premium looking phone. So far I have bought 2 phones of this model.,Barani Jeyaseelan,"Certified Buyer, Tiruchirappalli",24 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,Nice one.,Sanjeev Pal,"Certified Buyer, New Delhi",25 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Battery life is low which I observed rest things are well satisfactory,Nandit Soni,"Certified Buyer, Aurangabad Division",25 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Did not meet expectations,Selfie camera is very bad waste of money don't buy,Flipkart Customer,"Certified Buyer, Manesar",28 days ago,1,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Utterly Disappointed,The charging socket is too tight even though the flipkart is not ready to replace it,Satheesh Krishnan,"Certified Buyer, Thane District",1 month ago,1,1,motorola-edge-60-pro-pantone-shadow-256-gb
,Terrible product,With in 2 months charger get brand not satisfied with moto,Harshali Parab,"Certified Buyer, Mumbai",26 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific purchase,Good quality and style,Kishore r g  Kanadal,"Certified Buyer, Gadag Betigeri",26 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Highly recommended,Good,Vinu Venugopal,"Certified Buyer, Idukki",26 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Does the job,"OK, but not happy with battery performance, drains quickly...",HRISHABH  SINGH,"Certified Buyer, Gorakhpur Division",26 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,"Awesome product value for money, camera super Quality thanks flipkart for suggesting this product",Flipkart Customer,"Certified Buyer, Pune Division",26 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Waste of money!,Worst mobile real me is good in compare of Moto stylus 60,Sujeet Yadav,"Certified Buyer, Mumbai",27 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Worth every penny,Great phone heat a bit on heavy usage normal usage it's cool and feel of phone is great,DIVYANSH Gupta,"Certified Buyer, Varanasi",27 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,Camera not up to mark and battery drained rapidly,Prabhas Hota,"Certified Buyer, Northern Division",27 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Useless product,"Front camera Good, rear camera after flash dimness, battery 🔋 backup  poor, after on the hotspot drain with in a hour 30 to 40 % drained. Send last images flash is on camera The bright is going to low lite mode.",Surendra  Sahu,"Certified Buyer, Chimur",27 days ago,1,1,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Value-for-money,Nic,Mohan Murali,"Certified Buyer, Vijayawada",27 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,Battery is okay ok Camera is bad....green lines are coming after photo taken....stylus is good but after few days boring ..finally it's average phone,Flipkart Customer,"Certified Buyer, Rajahmundry",28 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,Avg phone but helpful with stylus,Vishwajeet Singh,"Certified Buyer, Pakur",28 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Delightful,Good,Amar Randhir Singh,"Certified Buyer, Gorakhpur",28 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Bad quality,"Berry bad experience,battery charge below  8 hours , camara not good night light",DIGITAL  ELECTRONICS,"Certified Buyer, Hugli District",29 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Great product,"This phone was good,very stylish and also helpful for craters! But it's battery life only 6hr so please don't buy this phone",Vijay  Jawle,"Certified Buyer, Washim",29 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,Charger stopped working after 2 months,Apoorv Kimtee,"Certified Buyer, Ajmer",29 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Great product,"Excellent handset, in 60 fusion range and if you not required curve display than go for it. Very best phone",Ritesh  Bhatt,"Certified Buyer, Gandhinagar",29 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,Very good,marri gopi,"Certified Buyer, Sattenapalle",30 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Value-for-money,Good mobile,Rathika Harikrishnan,"Certified Buyer, Hosur",30 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Useless product,The main issue is with User Interface Which no one is highlighted Equal to 10000 Mobile UI Not at all expected with MOTO,Flipkart Customer,"Certified Buyer, Jaipur Division",30 days ago,0,1,motorola-edge-60-pro-pantone-shadow-256-gb
,Don't waste your money,It broke in a week,Deepak singh yadav,"Certified Buyer, Mehsana",30 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Value-for-money,Decent phone and features at this price. but considering the RAm and ROM it does lag a log,Ankit Talele,"Certified Buyer, Pimpri Chinchwad",30 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Good quality product,I love this phone 🤳 it's very smooth 😍,sajina begum,"Certified Buyer, Bengaluru",30 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,All good,Musuruddin Ddin,"Certified Buyer, Bomdila",30 days ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Does the job,This phone can be more slim and small,Kunal  Paul,"Certified Buyer, Gobardanga",1 month ago,0,1,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Very poor battery performance. The battery will long lasting 5 to 6 hrs. If it is continuously used.  Remaining feature is good.,Kotaru Gopi Krishna,"Certified Buyer, Hyderabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific,Very good mobile all over side. Ilove motorola,Sukhpreet Singh,"Certified Buyer, Siliguri",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Delightful,Been using the Edge 60 Stylus for a Month now everything is as expected works just great except the battery life it needs 2 Charge per day. It's a really unique smartphone providing a little bit of everything so you don't feel left out. It's great for productive users with the stylus which is definitely not just a gimmick and actually works well. The haptics are great as well. Cameras are good. Overall a balanced smartphone. I'm really satisfied with it,Sayantan Bera,"Certified Buyer, Haora District",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,I love this phone only it's camera needs to be improved plz do it in the update,Rashmi Sanhotra,"Certified Buyer, New Delhi",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Okk. But performance is not as good as I think.,Bhushan Humane,"Certified Buyer, Badlapur",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,Average phone,Nadim Reja,"Certified Buyer, Maldah District",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Ok not bad,VENKATA KISHORE REDDY M,"Certified Buyer, Hyderabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Worth the money,"Every thing is nice, camera performance is super but battery backup is not so well, sound is also ok-ok.",Pijush,"Certified Buyer, Gurugram",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Best in the market!,Good product but improve battery backup other wise good phone,Peermohammad razak,"Certified Buyer, Guntur District",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Brilliant,Best according to price. I am looking rich from stylus💝,Flipkart Customer,"Certified Buyer, Mohammadabad Ghazipur District",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Mind-blowing purchase,Very good,Sukumar Sarkar,"Certified Buyer, Krishnanagar",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,Ok,Akash Pandit,"Certified Buyer, Palghar",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Just wow!,This is best pho,AKASH  Kumar,"Certified Buyer, Patna Division",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Terrible product,"As a new phone battery life is not good, its heating issues,bulky design",Joydeb Sarkar,"Certified Buyer, Chakchaka",1 month ago,0,1,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Horrible,Performance is not up to the mark multiple lags during day to day use,Pranatosh Lenka,"Certified Buyer, Bhubaneswar",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Waste of money!,Phone is start Heating after Few Minutes of uses,Flipkart Customer,"Certified Buyer, Kumaon Division",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific,"Best budget smartphone,  sound quality and camera 📷 quality is awesome under this range 👌",Deepak  Jha,"Certified Buyer, Greater Noida",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Delightful,Battery performance is average but charging is superfast Camera is superb Overall good product,Sneha Yadav,"Certified Buyer, Varanasi",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Brilliant,Good,Flipkart Customer,"Certified Buyer, Narmada",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Perfect product!,Awesome product those who want moto mobile but instead this9,Rajeev  Kumar,"Certified Buyer, Etawah",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Unsatisfactory,Battery heating issues,Bharat Kumar,"Certified Buyer, Bengaluru",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Very Good,"The product is pretty good. Except the battery performance, everything is fine. Not at all recommended for gamers. If u are a camera lover and u don't play games, then u can go blindly for it.",chinthalapudi ramcharan,"Certified Buyer, Hyderabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Very poor,"Worst smartphone ever bought and used for such a high price. So much of glitch, delay,video playing and Gui mulfuctioning that it's is almost impossible to used it and not get frustrated. The flaws are so kind of frustrating that it's almost impossible for me to cope up with the phone activities as per my speed. My worst purchase ever. The design it also so bad that it just started tearing from the day first near the camera place. The display is also low on response.",Flipkart Customer,"Certified Buyer, Patna",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Did not meet expectations,Its a worst experience and the styles get stuck after some days of use,Ruthvick U gowda,"Certified Buyer, Hassan",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,V good,Anil Prajapati,"Certified Buyer, Ahmedabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,It's a really very good Phone...,FAISAL  ANSARI,"Certified Buyer, New Delhi",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Did not meet expectations,Product is slow as per expectations,Manoj Saxena,"Certified Buyer, Faridabad Division",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Did not meet expectations,Battery very poor performance,Anish Sharma,"Certified Buyer, Mumbai",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Excellent,"Very nice mobile, value for money, I am used 15 days. The performance is great. AI is powerful.",Nilesh  Mane,"Certified Buyer, Pimpri Chinchwad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Highly recommended,Very nice mobile,Flipkart Customer,"Certified Buyer, Mairwa",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Decent product,Battery drain,Flipkart Customer,"Certified Buyer, Coochbehar",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,"Overall performance is good,but battery backup is not good.",Rituraj Kumar,"Certified Buyer, Hyderabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Not good,Few apps like iMobile app is not working,santanu roy,"Certified Buyer, Kolkata",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Wonderful,Good product,Anju Anna  Benny,"Certified Buyer, Bengaluru",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,"Light in weight, good build , and classic phone",prasanjeet kumar,"Certified Buyer, Jamalpur",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Classy product,Good software,Anurag Manchanda,"Certified Buyer, Ghaziabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Simply awesome,Very nice phone,Vijay  Tejpal,"Certified Buyer, Pune",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Good choice,Good product,Rajesh Roy,"Certified Buyer, Delhi Division",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Does the job,Mother board problem after 2 days use,UTPAL ROY,"Certified Buyer, Kolhan Division",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Nice,Okay,Sonu Iqbal,"Certified Buyer, Madhupur",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Terrific,Nice 👍,Nitesh Kumar,"Certified Buyer, Aurangabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Just okay,Battery not good,Sanju Paul,"Certified Buyer, Mumbai",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Could be way better,not really great performance very bad,Flipkart Customer,"Certified Buyer, Candolim",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Excellent,Ok,Ashwinee Kumar,"Certified Buyer, Patna",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Awesome,Very good performance ￼,UDAY KUMAR,"Certified Buyer, District Purba Champaran",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Fair,It heats too fast.,sharmishtha rathore,"Certified Buyer, Jabalpur",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Fabulous!,Nice,SUBASH DEHURI,"Certified Buyer, Sambalpur",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
5.0,Brilliant,Perfect mid range smartphone,pendkar bhuvanesh,"Certified Buyer, Mahabubabad",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
4.0,Wonderful,Best Phone in this range,Surya,"Certified Buyer, Mumbai",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
3.0,Super!,Iam writing my name Mahesh in any browser the stylus is 100 times fail to write my name and it writing makesk Only stylus is problem that's it except stylus everything is good. And also when compared to oppo reno 13 5G and moto edge 60 stylus the display is less colour and more bright and also camera is also no good when compared to oppo reno 13 5G,Mahesh Vanga,"Certified Buyer, Hanamkonda",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
,Waste of money!,"S pen working properly, fingers toch effect, note did not save ,  100 % disappointed this purchase. Please software update for stylus software",Mujeeb rahman  S P,"Certified Buyer, Palakkad District",1 month ago,0,0,motorola-edge-60-pro-pantone-shadow-256-gb
